type,category,`weekdays,date,regularity,priority,parameters,subcategory,account,recurring_id,start,end,title,amount,tags
Income,Scale Up Salary,,2028-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2028-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2029-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2030-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2031-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2032-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2033-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2034-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2035-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2036-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2037-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2038-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2039-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2040-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2041-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2042-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2043-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2044-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2045-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-04-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-05-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-06-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-07-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-08-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-09-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-10-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-11-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2046-12-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2047-01-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2047-02-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
Income,Scale Up Salary,,2047-03-05T00:00:00.000Z,,,,,,,,,Tr Scale Up,150000.00,salary
