amount,type,title,category,date,tags
159.00,Expense,YouTube Premium,Software,2027-02-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-03-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-04-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-05-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-06-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-07-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-08-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-09-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-10-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-11-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2027-12-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-01-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-02-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-03-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-04-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-05-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-06-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-07-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-08-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-09-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-10-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-11-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2028-12-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-01-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-02-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-03-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-04-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-05-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-06-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-07-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-08-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-09-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-10-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-11-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2029-12-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-01-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-02-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-03-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-04-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-05-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-06-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-07-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-08-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-09-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-10-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-11-14T00:00:00.000Z,"monthly, subscription"
159.00,Expense,YouTube Premium,Software,2030-12-14T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-05-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-06-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-07-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-08-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-09-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-10-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-11-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2025-12-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-01-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-02-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-03-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-04-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-05-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-06-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-07-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-08-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-09-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-10-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-11-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2026-12-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-01-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-02-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-03-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-04-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-05-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-06-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-07-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-08-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-09-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-10-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-11-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2027-12-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-01-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-02-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-03-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-04-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-05-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-06-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-07-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-08-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-09-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-10-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-11-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2028-12-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-01-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-02-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-03-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-04-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-05-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-06-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-07-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-08-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-09-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-10-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-11-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2029-12-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-01-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-02-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-03-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-04-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-05-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-06-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-07-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-08-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-09-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-10-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-11-07T00:00:00.000Z,"monthly, subscription"
180.00,Expense,minimalist phone,Software,2030-12-07T00:00:00.000Z,"monthly, subscription"
600.00,Expense,Spa Day,Health,2025-05-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2025-06-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2025-07-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2025-08-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2025-09-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2025-10-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2025-11-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2025-12-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-01-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-02-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-03-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-04-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-05-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-06-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-07-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-08-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-09-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-10-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-11-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2026-12-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-01-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-02-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-03-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-04-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-05-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-06-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-07-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-08-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-09-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-10-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-11-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2027-12-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-01-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-02-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-03-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-04-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-05-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-06-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-07-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-08-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-09-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-10-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-11-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2028-12-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-01-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-02-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-03-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-04-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-05-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-06-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-07-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-08-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-09-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-10-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-11-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2029-12-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-01-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-02-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-03-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-04-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-05-04T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-06-01T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-07-06T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-08-03T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-09-07T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-10-05T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-11-02T00:00:00.000Z,"monthly, luxury"
600.00,Expense,Spa Day,Health,2030-12-07T00:00:00.000Z,"monthly, luxury"
70000.00,Income,Tr Scale Up,Scale Up Salary,2025-06-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2025-07-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2025-08-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2025-09-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2025-10-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2025-11-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2025-12-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-01-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-02-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-03-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-04-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-05-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-06-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-07-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-08-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-09-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-10-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-11-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2026-12-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-01-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-02-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-03-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-04-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-05-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-06-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-07-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-08-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-09-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-10-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-11-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2027-12-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-01-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-02-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-03-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-04-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-05-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-06-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-07-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-08-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-09-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-10-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-11-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2028-12-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-01-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-02-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-03-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-04-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-05-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-06-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-07-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-08-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-09-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-10-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-11-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2029-12-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-01-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-02-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-03-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-04-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-05-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-06-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-07-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-08-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-09-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-10-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-11-05T00:00:00.000Z,salary
70000.00,Income,Tr Scale Up,Scale Up Salary,2030-12-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2025-06-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2025-07-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2025-08-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2025-09-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2025-10-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2025-11-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2025-12-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-01-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-02-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-03-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-04-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-05-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-06-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-07-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-08-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-09-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-10-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-11-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2026-12-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2027-01-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2027-02-05T00:00:00.000Z,salary
60000.00,Income,Kr Scale Up,Scale Up Salary,2027-03-05T00:00:00.000Z,salary
