"DATE","TYPE","FROM ACCOUNT","TO ACCOUNT/TO CATEGORY","AMOUNT","CURRENCY","AMOUNT 2","CURRENCY 2","TAGS","NOTES"
"14/08/2024","Expense","Wallet Cash","Household  (Lost)","370","PHP","370","PHP","","Unaccounted for"
"14/08/2024","Expense","GCash","Household  (Internet)","101","PHP","101","PHP","","Kren's Data"
"13/08/2024","Expense","Wallet Cash","Household  (Lost)","446","PHP","446","PHP","","Unaccounted for"
"11/08/2024","Expense","Wallet Cash","Household  (Lost)","124","PHP","124","PHP","","Unaccounted for"
"10/08/2024","Expense","Wallet Cash","Transport (Commute)","112","PHP","112","PHP","","Taxi from SM North to Kren's"
"10/08/2024","Expense","Wallet Cash","Leisure (Movies)","760","PHP","760","PHP","","Deadpool & Wolverine x2"
"10/08/2024","Expense","Wallet Cash","Transport (Commute)","30","PHP","30","PHP","","Jeep from Kren's to SM North"
"10/08/2024","Expense","Wallet Cash","Household  (Lost)","15","PHP","15","PHP","","Lost"
"10/08/2024","Expense","Wallet Cash","Pets (Food)","400","PHP","400","PHP","","Assorted food"
"10/08/2024","Expense","Wallet Cash","Pets (Grooming)","2100","PHP","2100","PHP","","Groom for 3"
"10/08/2024","Expense","EastWest HPL Game Design Corporation","Household  (Transaction Fees)","18","PHP","18","PHP","","Withdraw fee"
"10/08/2024","Transfer","EastWest HPL Game Design Corporation","Wallet Cash","4700","PHP","4700","PHP","","Withdraw"
"10/08/2024","Expense","GCash","Household  (Internet)","101","PHP","101","PHP","","Globe GoExtra99"
"09/08/2024","Expense","Wallet Cash","Food (Junk Food)","400","PHP","400","PHP","","Minute burger "
"09/08/2024","Expense","Wallet Cash","Household  (Lost)","170","PHP","170","PHP","","7/11"
"07/08/2024","Expense","GCash","Clothing (Laundry)","195","PHP","195","PHP","","Laundry"
"06/08/2024","Expense","EastWest HPL Game Design Corporation","Household  (Rent)","2178.6","PHP","2178.6","PHP","","Kren's CC"
"06/08/2024","Transfer","EastWest HPL Game Design Corporation","EastWest CC","3449.58","PHP","3449.58","PHP","","August 7 dent"
"06/08/2024","Expense","EastWest HPL Game Design Corporation","Household  (Lost)","10","PHP","10","PHP","","Uniqa 40k Half fee"
"06/08/2024","Expense","EastWest HPL Game Design Corporation","Investment (Uniqa)","20000","PHP","20000","PHP","","Uniqa 40k Half"
"06/08/2024","Expense","GCash","Household  (Electricity)","3725","PHP","3725","PHP","","July Elec"
"06/08/2024","Expense","GCash","Kren","3725","PHP","3725","PHP","","July Elec"
"06/08/2024","Expense","EastWest HPL Game Design Corporation","Household  (Transaction Fees)","10","PHP","10","PHP","","Transfer fee"
"06/08/2024","Transfer","EastWest HPL Game Design Corporation","GCash","8000","PHP","8000","PHP","","Transfer"
"05/08/2024","Transfer","Hard Cash","Wallet Cash","123","PHP","123","PHP","","Transfer"
"05/08/2024","Expense","Hard Cash","Household  (Lost)","3557","PHP","3557","PHP","","Reset"
"05/08/2024","Transfer","Kren's PayPal","EastWest HPL Game Design Corporation","32339.5","PHP","32339.5","PHP","","DGL Pay"
"05/08/2024","Income","Kren's PayPal","DigiLance Salary","32339.5","PHP","32339.5","PHP","","DGL Pay"
"04/08/2024","Income","EastWest HPL Game Design Corporation","Dev Income","3000","PHP","3000","PHP","","PawAId Pay"
"04/08/2024","Income","EastWest HPL Game Design Corporation","Dev Income","3000","PHP","3000","PHP","","PawAId Pay"
"31/07/2024","Income","EastWest HPL Game Design Corporation","Giveaways","0.26","PHP","0.26","PHP","","Bank Interest"
"22/07/2024","Expense","EastWest HPL Game Design Corporation","Household  (Lost)","0.12","PHP","0.12","PHP","","Finalize Kren's Withdraw"
"22/07/2024","Transfer","Wallet Cash","EastWest HPL Game Design Corporation","49","PHP","49","PHP","","Transfer"
"18/07/2024","Expense","Wallet Cash","Household  (Lost)","46.75","PHP","46.75","PHP","","Lost"
"18/07/2024","Transfer","GCash","Wallet Cash","76.5","PHP","76.5","PHP","","Transfer"
"18/07/2024","Expense","GCash","Food (Packaged Foods)","340","PHP","340","PHP","","Twinings Green Tea & Lemon 25s"
"18/07/2024","Expense","GCash","Food (Junk Food)","14","PHP","14","PHP","","Yum Yum Mini Bites 30g"
"18/07/2024","Expense","GCash","Food (Junk Food)","169.5","PHP","169.5","PHP","","Monster Energy Ultra 355mL x2"
"17/07/2024","Expense","Wallet Cash","Health (Medicine)","55","PHP","55","PHP","","Mefenamic x10"
"17/07/2024","Expense","Wallet Cash","Food (Junk Food)","169.5","PHP","169.5","PHP","","Monster Energy Ultra 355mL x2"
"17/07/2024","Expense","Wallet Cash","Food (Junk Food)","49.5","PHP","49.5","PHP","","Kren's Proyo"
"16/07/2024","Transfer","Wallet Cash","Hard Cash","800","PHP","800","PHP","","Move"
"16/07/2024","Income","Wallet Cash","Giveaways","420","PHP","420","PHP","","From Tita Rem"
"16/07/2024","Expense","Wallet Cash","Food (Junk Food)","169.5","PHP","169.5","PHP","","Monster Energy Ultra 355mL x2"
"16/07/2024","Expense","Wallet Cash","Food (Junk Food)","126.75","PHP","126.75","PHP","","Kren's Delfis Wiss Dark Chocolate"
"16/07/2024","Expense","Wallet Cash","Food (Junk Food)","52","PHP","52","PHP","","Meiji Black Chocolate 50g"
"13/07/2024","Transfer","EastWest CC","EastWest CC","498","PHP","498","PHP","","Abenson Delivery Fee"
"13/07/2024","Expense","Wallet Cash","Transport (Commute)","250","PHP","250","PHP","","Taxi from Gilmore to Kren's"
"13/07/2024","Expense","Wallet Cash","Kren","2250","PHP","2250","PHP","","Kren's PC Down Payment"
"13/07/2024","Expense","Wallet Cash","Transport (Commute)","26","PHP","26","PHP","","Jeep from Araneta to Gilmore x2"
"13/07/2024","Expense","Wallet Cash","Food (Junk Food)","45","PHP","45","PHP","","7/11 Hotdog"
"13/07/2024","Expense","Wallet Cash","Food (Junk Food)","55","PHP","55","PHP","","7/11 Onigiri"
"13/07/2024","Expense","Wallet Cash","Transport (Commute)","32","PHP","32","PHP","","MRT from Trinoma to Araneta x2"
"13/07/2024","Expense","EastWest CC","Transport (Shipping)","498","PHP","498","PHP","","Abenson Delivery Fee"
"13/07/2024","Expense","Wallet Cash","Transport (Commute)","30","PHP","30","PHP","","Bus from Kren's to Trinoma x2"
"13/07/2024","Expense","GCash","Household  (Internet)","101","PHP","101","PHP","","Globe GoExtra99"
"12/07/2024","Transfer","Hard Cash","Wallet Cash","3000","PHP","3000","PHP","","Reserves"
"12/07/2024","Income","Wallet Cash","Discovery","20","PHP","20","PHP","","Found"
"12/07/2024","Expense","Hard Cash","Kren","1700","PHP","1700","PHP","","Borrow for HDD"
"10/07/2024","Expense","Wallet Cash","Household  (Lost)","11.5","PHP","11.5","PHP","","Unaccounted for"
"10/07/2024","Transfer","Wallet Cash","Hard Cash","7580","PHP","7580","PHP","","Consolidating"
"09/07/2024","Expense","EastWest CC","Food (Junk Food)","169.5","PHP","169.5","PHP","","Monster Energy Ultra 355mL x2"
"09/07/2024","Transfer","EastWest CC","Wallet Cash","211.5","PHP","211.5","PHP","","Leno+Kren Night Run"
"09/07/2024","Transfer","EastWest CC","EastWest CC","211.5","PHP","211.5","PHP","","Leno+Kren Night Run"
"09/07/2024","Transfer","EastWest CC","EastWest CC","206","PHP","206","PHP","","Night Run"
"09/07/2024","Expense","EastWest CC","Health (Hygiene)","36.5","PHP","36.5","PHP","","Green Cross Alcohol 40mL"
"07/07/2024","Transfer","EastWest CC","EastWest CC","487.25","PHP","487.25","PHP","","Kren's Grocery Budget"
"07/07/2024","Transfer","EastWest CC","EastWest CC","184.5","PHP","184.5","PHP","","minimalist phone Monthly"
"07/07/2024","Expense","EastWest CC","Software (Subscriptions)","184.5","PHP","184.5","PHP","","minimalist phone Monthly"
"07/07/2024","Transfer","Expected Expense","Wallet Cash","806.35","PHP","806.35","PHP","","Consolidate"
"07/07/2024","Expense","Expected Expense","Transport (Commute)","30","PHP","30","PHP","","Transport"
"07/07/2024","Expense","EastWest CC","Kren","55.5","PHP","55.5","PHP","","Jolly Mushrooms Champignons Pieces & Stems 400g"
"07/07/2024","Expense","EastWest CC","Kren","55","PHP","55","PHP","","Knorr Cream of Mushroom 62g"
"07/07/2024","Expense","EastWest CC","Kren","66.25","PHP","66.25","PHP","","Johnson's Baby Powder Pink Blossoms 100g"
"07/07/2024","Expense","EastWest CC","Kren","85","PHP","85","PHP","","Grips Body Spray Knight w Free Fix"
"07/07/2024","Expense","EastWest CC","Kren","38.5","PHP","38.5","PHP","","Del Monte Pineapple Slices 227g"
"07/07/2024","Expense","EastWest CC","Kren","89","PHP","89","PHP","","Blest Natural Wipes Lavender 80 Sheets"
"07/07/2024","Expense","EastWest CC","Kren","98","PHP","98","PHP","","CDO Funtastyk Fatless Tocino 225g"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","210","PHP","210","PHP","","Tender Juicy Chicken + Cheese Hotdog 1kg"
"07/07/2024","Expense","EastWest CC","Food (Packaged Foods)","174.5","PHP","174.5","PHP","","Selecta Fortified Milk 500mL x2"
"07/07/2024","Expense","EastWest CC","Health (Hygiene)","86.25","PHP","86.25","PHP","","Sanicare Unscented Facial Tissue 3 Ply 140 Pulls 420 Sheets"
"07/07/2024","Expense","EastWest CC","Household  (Items)","40","PHP","40","PHP","","Robinson's Grocery Bag Black"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","138","PHP","138","PHP","","Reese's Peanut Butter Cups 8pcs"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","122","PHP","122","PHP","","Rebisco Crackers 20pcs"
"07/07/2024","Expense","EastWest CC","Food (Packaged Foods)","129.15","PHP","129.15","PHP","","Quaker Instant Oatmeal 800g"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","59.75","PHP","59.75","PHP","","Purefoods Vienna Sausage 230g"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","190","PHP","190","PHP","","Purefoods Luncheon Meat 230g x2"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","84","PHP","84","PHP","","Purefoods Corned Beef Hot & Spicy 50g"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","118","PHP","118","PHP","","Purefoods Corned Beef Bulgogi 210g"
"07/07/2024","Expense","EastWest CC","Food (Packaged Foods)","161.25","PHP","161.25","PHP","","Nescafe Classic 185g"
"07/07/2024","Expense","EastWest CC","Food (Junk Food)","52","PHP","52","PHP","","Meiji Black Chocolate 50g"
"07/07/2024","Transfer","EastWest CC","EastWest CC","1564.9","PHP","1564.9","PHP","","Groceries Budget"
"07/07/2024","Expense","Expected Expense","Pets (Food)","350","PHP","350","PHP","","Pet Budget"
"07/07/2024","Expense","Expected Expense","Clothing (Laundry)","175","PHP","175","PHP","","Weekly Laundry"
"07/07/2024","Expense","Expected Expense","Clothing (Laundry)","175","PHP","175","PHP","","Weekly Laundry"
"07/07/2024","Transfer","Wallet Cash","Expected Expense","1536.35","PHP","1536.35","PHP","","Weekly Prep"
"07/07/2024","Expense","EastWest HPL Game Design Corporation","Kren","5170","PHP","5170","PHP","","Pay Kren's CC Bills"
"07/07/2024","Expense","GCash","Household  (Transaction Fees)","15","PHP","15","PHP","","Transfer fee"
"07/07/2024","Transfer","GCash","EastWest HPL Game Design Corporation","191","PHP","191","PHP","","Transfer to settle bills"
"07/07/2024","Transfer","Kren","Wallet Cash","5170","PHP","5170","PHP","","To Pay CC"
"07/07/2024","Expense","Wallet Cash","Kren","3000","PHP","3000","PHP","","Settle Debt"
"07/07/2024","Transfer","EastWest HPL Game Design Corporation","Wallet Cash","6000","PHP","6000","PHP","","Withdraw"
"07/07/2024","Expense","EastWest HPL Game Design Corporation","Household  (Items)","9408","PHP","9408","PHP","","My Share Kren's CC"
"07/07/2024","Transfer","EastWest HPL Game Design Corporation","EastWest CC","4364","PHP","4364","PHP","","Paying My CC"
"07/07/2024","Expense","EastWest HPL Game Design Corporation","Kren","3386","PHP","3386","PHP","","Kren's July Electricity"
"07/07/2024","Expense","EastWest HPL Game Design Corporation","Household  (Electricity)","3414","PHP","3414","PHP","","July Electricity"
"06/07/2024","Transfer","Expected Expense","Wallet Cash","142","PHP","142","PHP","","Consolidate"
"06/07/2024","Expense","Expected Expense","Transport (Commute)","165","PHP","165","PHP","","Taxi from Gateway to Kren's"
"06/07/2024","Expense","Expected Expense","Health (Services)","20","PHP","20","PHP","","Gateway CR"
"06/07/2024","Expense","Expected Expense","Food (Junk Food)","52","PHP","52","PHP","","Meiji Black Chocolate 50g"
"06/07/2024","Expense","Expected Expense","Food (Restaurant)","368","PHP","368","PHP","","Mang Inasal w Kren"
"06/07/2024","Expense","Expected Expense","Transport (Commute)","26","PHP","26","PHP","","Jeep from Gilmore to Araneta x2"
"06/07/2024","Expense","Expected Expense","Gifts (Material)","65","PHP","65","PHP","","Kren's 7/11 Onigiri"
"06/07/2024","Expense","Expected Expense","Food (Junk Food)","45","PHP","45","PHP","","7/11 Hotdog"
"06/07/2024","Expense","Expected Expense","Transport (Commute)","40","PHP","40","PHP","","LRT from Araneta to Gilmore x2"
"06/07/2024","Expense","EastWest CC","Leisure (Literature)","1399","PHP","1399","PHP","","H. P. Lovecraft Tales of Horror"
"06/07/2024","Transfer","EastWest CC","EastWest CC","1399","PHP","1399","PHP","","H. P. Lovecraft Tales of Horror"
"06/07/2024","Transfer","Kren","Wallet Cash","98","PHP","98","PHP","","Kren's Daiso Socks"
"06/07/2024","Expense","EastWest CC","Kren","98","PHP","98","PHP","","Kren's Daiso Socks"
"06/07/2024","Transfer","EastWest CC","EastWest CC","98","PHP","98","PHP","","Kren's Daiso Socks"
"06/07/2024","Expense","Expected Expense","Transport (Commute)","32","PHP","32","PHP","","MRT from Trinoma to Araneta x2"
"06/07/2024","Expense","Expected Expense","Transport (Commute)","30","PHP","30","PHP","","Bus from Sitio Bacood to Trinoma x2"
"06/07/2024","Transfer","Expected Expense","Wallet Cash","215","PHP","215","PHP","","Transfer for Adventure Prep"
"06/07/2024","Income","EastWest HPL Game Design Corporation","Giveaways","0.54","PHP","0.54","PHP","","Capitalize Credit Interest?? "
"06/07/2024","Expense","GCash","Household  (Internet)","101","PHP","101","PHP","","Globe GoExtra99"
"06/07/2024","Transfer","Kren's PayPal","EastWest HPL Game Design Corporation","31506.41","PHP","31506.41","PHP","","Transfer"
"05/07/2024","Expense","EastWest CC","Food (Junk Food)","254.25","PHP","254.25","PHP","","Monster Energy Ultra 355mL x3"
"05/07/2024","Transfer","EastWest CC","EastWest CC","254.25","PHP","254.25","PHP","","Monster Energy Ultra 355mL x3"
"05/07/2024","Transfer","Expected Expense","Wallet Cash","241","PHP","241","PHP","","Transfer"
"05/07/2024","Transfer","Expected Expense","GCash","500","PHP","500","PHP","","Cash In"
"04/07/2024","Expense","Kren's PayPal","Software (Subscriptions)","600","PHP","600","PHP","","GitHub Copilot"
"03/07/2024","Income","Kren's PayPal","DigiLance Salary","32106.41","PHP","32106.41","PHP","","July Salary"
"03/07/2024","Expense","Expected Expense","Gifts (Material)","69","PHP","69","PHP","","Kren's Milk Tea"
"03/07/2024","Expense","Expected Expense","Food (Junk Food)","190","PHP","190","PHP","","Monster Energy Ultra 355mL"
"03/07/2024","Income","Wallet Cash","Discovery","30","PHP","30","PHP","","Unaccounted for"
"03/07/2024","Expense","Expected Expense","Pets (Health)","300","PHP","300","PHP","","Lee's Wound Cream"
"03/07/2024","Expense","Expected Expense","Pets (Health)","500","PHP","500","PHP","","Lee's Vet Check"
"03/07/2024","Transfer","Kren","Expected Expense","3000","PHP","3000","PHP","","Borrow for Vet"
"03/07/2024","Expense","Wallet Cash","Transport (Commute)","35","PHP","35","PHP","","Tricycle from Visayas Vet to Kren's"
"03/07/2024","Expense","Wallet Cash","Transport (Commute)","30","PHP","30","PHP","","Tricycle from Tandang Sora to Visayas Vet"
"01/07/2024","Expense","GCash","Household  (Transaction Fees)","5","PHP","5","PHP","","GCash Cash In Fee"
"01/07/2024","Transfer","Wallet Cash","GCash","500","PHP","500","PHP","","Cash In"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","42.36","PHP","42.36","PHP","","Monster Energy 355mL"
"30/06/2024","Expense","Wallet Cash","Pets (Food)","370","PHP","370","PHP","","Assorted Pet Food"
"30/06/2024","Expense","Wallet Cash","Transport (Commute)","30","PHP","30","PHP","","Tricycle from Robinson's Tandang Sora to Kren's"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","26","PHP","26","PHP","","Meiji Black Chocolate 50g"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","61","PHP","61","PHP","","Rebisco Crackers 33g x20"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","12.63","PHP","12.63","PHP","","Cheez-It 95g"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","18.5","PHP","18.5","PHP","","Piattos Cheese 85g"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","59.5","PHP","59.5","PHP","","Toblerone Dark 100g"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","41.25","PHP","41.25","PHP","","Pancake Plus w Maple Syrup 480g"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","10.13","PHP","10.13","PHP","","Robinsons Garlic Powder 30g"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","87.25","PHP","87.25","PHP","","Selecta Fortified Milk 500mL x2"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","53.5","PHP","53.5","PHP","","CDO Sweet Ham Classic 250g"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","55","PHP","55","PHP","","CDO Chicken Ham Classic 250g"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","107","PHP","107","PHP","","PureFoods Tender Juicy Cheesedog 1kg"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","28.5","PHP","28.5","PHP","","Century Tuna 180g"
"30/06/2024","Expense","EastWest CC","Food (Junk Food)","81.75","PHP","81.75","PHP","","Century Tuna Veg Oil Lite 180g x3"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","38.75","PHP","38.75","PHP","","Century Tuna Hot and Spicy 155g x2"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","108","PHP","108","PHP","","PureFoods Corned Beef 210g x2"
"30/06/2024","Expense","EastWest CC","Food (Packaged Foods)","95","PHP","95","PHP","","PureFoods Luncheon Meat 230g x2"
"30/06/2024","Expense","EastWest CC","Health (Hygiene)","47.13","PHP","47.13","PHP","","Modess Non-Wings Pad x20"
"30/06/2024","Expense","EastWest CC","Health (Hygiene)","99.5","PHP","99.5","PHP","","Colgate Charcoal 115g x2"
"30/06/2024","Expense","EastWest CC","Kren","1072.75","PHP","1072.75","PHP","","Weekly Grocery Split"
"30/06/2024","Transfer","EastWest CC","EastWest CC","2145.5","PHP","2145.5","PHP","","Weekly Grocery to be Split"
"30/06/2024","Expense","EastWest CC","Health (Apparatus)","39","PHP","39","PHP","","Spiral Mini Notebook for Meal Logs"
"30/06/2024","Expense","EastWest CC","Leisure (Literature)","125","PHP","125","PHP","","George Orwell - Down and Out in Paris and London"
"30/06/2024","Expense","EastWest CC","Leisure (Literature)","125","PHP","125","PHP","","George Orwell - The Road to Wigan Pier"
"30/06/2024","Expense","EastWest CC","Leisure (Literature)","125","PHP","125","PHP","","George Orwell - Homage to Catalonia"
"30/06/2024","Expense","EastWest CC","Leisure (Literature)","125","PHP","125","PHP","","George Orwell - Animal Farm"
"30/06/2024","Expense","EastWest CC","Leisure (Literature)","44.5","PHP","44.5","PHP","","Magnetic Bookmark"
"30/06/2024","Transfer","EastWest CC","EastWest CC","583.5","PHP","583.5","PHP","","NBS Spree"
"30/06/2024","Expense","EastWest CC","Kren","236","PHP","236","PHP","","Kren's Japan Home Center"
"30/06/2024","Transfer","EastWest CC","EastWest CC","236","PHP","236","PHP","","Kren's Japan Home Center Borrow"
"30/06/2024","Expense","EastWest CC","Gifts (Material)","88","PHP","88","PHP","","Kren's Touch Screen Pen"
"30/06/2024","Transfer","EastWest CC","EastWest CC","88","PHP","88","PHP","","Kren's Japan Home Center Screen Pen"
"30/06/2024","Expense","EastWest CC","Clothing (Apparel)","165","PHP","165","PHP","","Socks x4"
"30/06/2024","Transfer","EastWest CC","EastWest CC","165","PHP","165","PHP","","Japan Home Center Socks"
"30/06/2024","Expense","Wallet Cash","Transport (Commute)","30","PHP","30","PHP","","Bus from Kren's to Cherry"
"28/06/2024","Transfer","EastWest CC","EastWest CC","577.25","PHP","577.25","PHP","","Robinson's Grocery"
"28/06/2024","Transfer","EastWest CC","EastWest CC","123","PHP","123","PHP","","Robinson's Grocery"
"28/06/2024","Expense","EastWest CC","Food (Junk Food)","31.5","PHP","31.5","PHP","","Cracklings x2"
"28/06/2024","Expense","EastWest CC","Food (Junk Food)","58","PHP","58","PHP","","Pic A BBQ 180g"
"28/06/2024","Expense","EastWest CC","Food (Junk Food)","84.75","PHP","84.75","PHP","","Monster Energy 355mL"
"28/06/2024","Expense","EastWest CC","Food (Junk Food)","169.5","PHP","169.5","PHP","","Monster Energy Ultra 355mL x2"
"28/06/2024","Expense","EastWest CC","Food (Junk Food)","84","PHP","84","PHP","","Pancit Canton Sweet & Spicy x6"
"28/06/2024","Expense","EastWest CC","Food (Junk Food)","52","PHP","52","PHP","","Meiji Bars Black 50g"
"28/06/2024","Expense","EastWest CC","Food (Junk Food)","97.5","PHP","97.5","PHP","","Lucky Me Cup Noddles 70g x3"
"28/06/2024","Expense","EastWest CC","Gifts (Material)","123","PHP","123","PHP","","Kren's Calbee's Honey Butter Chips"
"27/06/2024","Expense","Wallet Cash","Gifts (Material)","36","PHP","36","PHP","","Kren's Proyo"
"27/06/2024","Expense","Wallet Cash","Food (Junk Food)","31","PHP","31","PHP","","Cracklings"
"27/06/2024","Expense","Wallet Cash","Food (Junk Food)","95","PHP","95","PHP","","Monster Energy Ultra 355mL"
"25/06/2024","Income","Wallet Cash","Discovery","400","PHP","400","PHP","","Unaccounted for"
"23/06/2024","Expense","EastWest CC","Gifts (Material)","3000","PHP","3000","PHP","","Bros Legos"
"23/06/2024","Expense","Wallet Cash","Health (Hygiene)","500","PHP","500","PHP","","Vicks ZzzQuil Gummies 48pcs"
"23/06/2024","Expense","Wallet Cash","Transport (Commute)","200","PHP","200","PHP","","Bro's Taxi from UPTC to Imperial"
"23/06/2024","Transfer","EastWest CC","EastWest CC","3398","PHP","3398","PHP","","Bros Legos"
"23/06/2024","Transfer","EastWest CC","Theolo","398","PHP","398","PHP","","Bros Lego Shared"
"23/06/2024","Expense","Wallet Cash","Food (Junk Food)","136","PHP","136","PHP","","Gatorade Blue Bolt 1.5L"
"23/06/2024","Expense","Wallet Cash","Food (Packaged Foods)","69","PHP","69","PHP","","Giant Bottled Water"
"23/06/2024","Expense","Wallet Cash","Transport (Commute)","331","PHP","331","PHP","","Grab from Kren's to UPTC"
"23/06/2024","Expense","Wallet Cash","Clothing (Laundry)","175","PHP","175","PHP","","Weekly Laundry"
"23/06/2024","Expense","Wallet Cash","Transport (Shipping)","78","PHP","78","PHP","","Lalamove Clothes from Imperial to Kren's"
"22/06/2024","Expense","Wallet Cash","Transport (Commute)","100","PHP","100","PHP","","Tricycle from SM Cherry to Kren's x2"
"22/06/2024","Expense","Wallet Cash","Gifts (Material)","900","PHP","900","PHP","","Salon Treat for Bros Shared"
"22/06/2024","Expense","Wallet Cash","Health (Services)","530","PHP","530","PHP","","Hair Cut + Foot Spa + Pedicure"
"22/06/2024","Expense","Wallet Cash","Food (Junk Food)","131","PHP","131","PHP","","Hotdog Waffle x4"
"22/06/2024","Expense","Wallet Cash","Food (Junk Food)","68","PHP","68","PHP","","Hotdog Waffle x2"
"22/06/2024","Transfer","EastWest CC","EastWest CC","142.75","PHP","142.75","PHP","","Robinson's Snacks"
"22/06/2024","Expense","EastWest CC","Food (Junk Food)","84.75","PHP","84.75","PHP","","Monster Energy Ultra 355mL"
"22/06/2024","Expense","EastWest CC","Food (Junk Food)","58","PHP","58","PHP","","Pic-A BBQ 180g"
"22/06/2024","Expense","Wallet Cash","Transport (Commute)","60","PHP","60","PHP","","Tricycle from Sitio Bacood to Circle C"
"22/06/2024","Expense","GCash","Household  (Internet)","101","PHP","101","PHP","","Globe GoExtra99"
"21/06/2024","Transfer","EastWest CC","EastWest CC","240.97","PHP","240.97","PHP","","TickTick Premium Monthly"
"21/06/2024","Expense","EastWest CC","Software (Subscriptions)","240.97","PHP","240.97","PHP","","TickTick Premium Monthly"
"20/06/2024","Transfer","EastWest CC","EastWest CC","597.67","PHP","597.67","PHP","","Steam Purchase"
"20/06/2024","Expense","EastWest CC","Household  (Transaction Fees)","14.58","PHP","14.58","PHP","","Steam Transaction Fee"
"20/06/2024","Expense","EastWest CC","Leisure (Video Games)","380","PHP","380","PHP","","Assassin's Creed - Director's Cut Edition"
